"Subject"	"Stim"	"Exp"	"Letter"	"Direction"	"Shot"	"Time"	"Answer"	"Video"	"count_ExperimentLoop"	"item"	"repeat."	"response"	"RT"	"time_ScreenForResponse"	"correct"
"172"	"1"	"172"	"1"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"x"	479	22700	""
"282"	"2"	"102"	"1"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"q"	826	19394	""
"370"	"3"	"10"	"1"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"q"	423	20948	""
"637"	"4"	"97"	"1"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"q"	1687	60402	""
"846"	"5"	"126"	"1"	"p"	"1"	"10"	"1"	1	"S10C1T1"	0	NA	NA	"p"	834	15911	"t1"
"966"	"6"	"66"	"1"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"q"	1289	9321	""
"1137"	"7"	"57"	"1"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"m"	1222	14736	""
"1375"	"8"	"115"	"1"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"m"	2058	32760	""
"1612"	"9"	"172"	"1"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"x"	479	22700	""
"1753"	"10"	"133"	"1"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"m"	654	63591	""
"1876"	"11"	"76"	"2"	"p"	"1"	"10"	"1"	1	"S10C1T1"	0	NA	NA	"p"	1303	52040	""
"2097"	"12"	"117"	"2"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"x"	646	82298	""
"2315"	"13"	"155"	"2"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"x"	662	33109	""
"2443"	"14"	"103"	"2"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"x"	2717	4939	""
"2526"	"15"	"6"	"2"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"x"	664	13435	""
"2803"	"16"	"103"	"2"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"x"	2717	4939	""
"2970"	"17"	"90"	"2"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"x"	830	81786	""
"3066"	"18"	"6"	"2"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"x"	988	3832	""
"3303"	"19"	"63"	"2"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"m"	346	43024	""
"3582"	"20"	"162"	"2"	"p"	"1"	"10"	"1"	0	"S10C1T1"	0	NA	NA	"q"	1546	22706	""
"103"	"1"	"103"	"1"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"q"	556	22700	""
"237"	"2"	"57"	"1"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"q"	998	19394	""
"538"	"3"	"178"	"1"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"q"	408	20948	""
"671"	"4"	"131"	"1"	"p"	"1"	"10"	"2"	1	"S10C1T2"	0	NA	NA	"p"	686	60402	"t2"
"800"	"5"	"80"	"1"	"p"	"1"	"10"	"2"	1	"S10C1T2"	0	NA	NA	"p"	1236	15911	"t2"
"1071"	"6"	"171"	"1"	"p"	"1"	"10"	"2"	1	"S10C1T2"	0	NA	NA	"p"	489	9321	"t2"
"1104"	"7"	"24"	"1"	"p"	"1"	"10"	"2"	1	"S10C1T2"	0	NA	NA	"p"	1344	14736	""
"1383"	"8"	"123"	"1"	"p"	"1"	"10"	"2"	1	"S10C1T2"	0	NA	NA	"p"	709	32760	"t2"
"1543"	"9"	"103"	"1"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"q"	556	22700	""
"1796"	"10"	"176"	"1"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"q"	531	63591	""
"1908"	"11"	"108"	"2"	"p"	"1"	"10"	"2"	1	"S10C1T2"	0	NA	NA	"p"	1717	52040	"t2"
"2093"	"12"	"113"	"2"	"p"	"1"	"10"	"2"	1	"S10C1T2"	0	NA	NA	"p"	728	82298	"t2"
"2247"	"13"	"87"	"2"	"p"	"1"	"10"	"2"	1	"S10C1T2"	0	NA	NA	"p"	6994	33109	""
"2353"	"14"	"13"	"2"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"q"	2480	4939	""
"2541"	"15"	"21"	"2"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"q"	660	13435	""
"2713"	"16"	"13"	"2"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"q"	2480	4939	""
"2938"	"17"	"58"	"2"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"m"	2114	81786	""
"3081"	"18"	"21"	"2"	"p"	"1"	"10"	"2"	1	"S10C1T2"	0	NA	NA	"p"	1071	3832	"t2"
"3331"	"19"	"91"	"2"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"m"	647	43024	""
"3585"	"20"	"165"	"2"	"p"	"1"	"10"	"2"	0	"S10C1T2"	0	NA	NA	"m"	1128	22706	""
"158"	"1"	"158"	"1"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	472	22700	""
"279"	"2"	"99"	"1"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	1067	19394	""
"376"	"3"	"16"	"1"	"p"	"1"	"10"	"3"	1	"S10C1T3"	0	NA	NA	"p"	501	20948	"t3"
"689"	"4"	"149"	"1"	"p"	"1"	"10"	"3"	1	"S10C1T3"	0	NA	NA	"p"	671	60402	"t3"
"736"	"5"	"16"	"1"	"p"	"1"	"10"	"3"	1	"S10C1T3"	0	NA	NA	"p"	1483	15911	"t3"
"983"	"6"	"83"	"1"	"p"	"1"	"10"	"3"	1	"S10C1T3"	0	NA	NA	"p"	334	9321	"t3"
"1093"	"7"	"13"	"1"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"q"	1044	14736	""
"1310"	"8"	"50"	"1"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	722	32760	""
"1598"	"9"	"158"	"1"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	472	22700	""
"1676"	"10"	"56"	"1"	"p"	"1"	"10"	"3"	1	"S10C1T3"	0	NA	NA	"p"	842	63591	"t3"
"1943"	"11"	"143"	"2"	"p"	"1"	"10"	"3"	1	"S10C1T3"	0	NA	NA	"p"	1371	52040	"t3"
"2128"	"12"	"148"	"2"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"x"	752	82298	""
"2192"	"13"	"32"	"2"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	1293	33109	""
"2456"	"14"	"116"	"2"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	2684	4939	""
"2631"	"15"	"111"	"2"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"q"	430	13435	""
"2816"	"16"	"116"	"2"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	2684	4939	""
"2914"	"17"	"34"	"2"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	3262	81786	""
"3205"	"18"	"145"	"2"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	2283	3832	""
"3242"	"19"	"2"	"2"	"p"	"1"	"10"	"3"	0	"S10C1T3"	0	NA	NA	"m"	523	43024	""
"3445"	"20"	"25"	"2"	"p"	"1"	"10"	"3"	1	"S10C1T3"	0	NA	NA	"p"	1035	22706	"t3"
"77"	"1"	"77"	"1"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"m"	531	22700	""
"292"	"2"	"112"	"1"	"q"	"2"	"10"	"1"	1	"S10C2T1"	0	NA	NA	"q"	845	19394	"t1"
"529"	"3"	"169"	"1"	"q"	"2"	"10"	"1"	1	"S10C2T1"	0	NA	NA	"q"	445	20948	"t1"
"690"	"4"	"150"	"1"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"p"	883	60402	""
"886"	"5"	"166"	"1"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"x"	887	15911	""
"1017"	"6"	"117"	"1"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"x"	1257	9321	""
"1178"	"7"	"98"	"1"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"m"	2391	14736	""
"1285"	"8"	"25"	"1"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"x"	1274	32760	""
"1517"	"9"	"77"	"1"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"m"	531	22700	""
"1749"	"10"	"129"	"1"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"m"	961	63591	""
"1961"	"11"	"161"	"2"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"x"	1484	52040	""
"2104"	"12"	"124"	"2"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"m"	636	82298	""
"2486"	"14"	"146"	"2"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"p"	2208	4939	""
"2604"	"15"	"84"	"2"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"x"	417	13435	""
"2846"	"16"	"146"	"2"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"p"	2208	4939	""
"3017"	"17"	"137"	"2"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"m"	1406	81786	""
"3202"	"18"	"142"	"2"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"x"	580	3832	""
"3265"	"19"	"25"	"2"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"x"	542	43024	""
"3536"	"20"	"116"	"2"	"q"	"2"	"10"	"1"	0	"S10C2T1"	0	NA	NA	"m"	1596	22706	""
"82"	"1"	"82"	"1"	"q"	"2"	"10"	"2"	1	"S10C2T2"	0	NA	NA	"q"	402	22700	"t2"
"261"	"2"	"81"	"1"	"q"	"2"	"10"	"2"	0	"S10C2T2"	0	NA	NA	"x"	838	19394	""
"526"	"3"	"166"	"1"	"q"	"2"	"10"	"2"	1	"S10C2T2"	0	NA	NA	"q"	387	20948	"t2"
"716"	"4"	"176"	"1"	"q"	"2"	"10"	"2"	1	"S10C2T2"	0	NA	NA	"q"	447	60402	"t2"
"828"	"5"	"108"	"1"	"q"	"2"	"10"	"2"	1	"S10C2T2"	0	NA	NA	"q"	1219	15911	"t2"
"970"	"6"	"70"	"1"	"q"	"2"	"10"	"2"	1	"S10C2T2"	0	NA	NA	"q"	694	9321	"t2"
"1212"	"7"	"132"	"1"	"q"	"2"	"10"	"2"	1	"S10C2T2"	0	NA	NA	"q"	1440	14736	""
